{'customer_id': 'C1014', 'order_id': '617d492d-0a14-4bad-ab9b-d2f66d0afc6a', 'seller_id': 'jkq', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 7, 'product_price': 1.99}
{'customer_id': 'C1014', 'order_id': '617d492d-0a14-4bad-ab9b-d2f66d0afc6a', 'seller_id': 'jkq', 'product_name': 'Hair Comb', 'product_code': 'A0001', 'product_quantity': 3, 'product_price': 2.99}
{'customer_id': 'C1015', 'order_id': '03798493-0fe2-42c1-bf3a-308e65c18e7b', 'seller_id': 'xyz', 'product_name': 'Toothbrush', 'product_code': 'A0002', 'product_quantity': 8, 'product_price': 5.99}
{'customer_id': 'C1015', 'order_id': '03798493-0fe2-42c1-bf3a-308e65c18e7b', 'seller_id': 'xyz', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 1, 'product_price': 1.99}
{'customer_id': 'C1015', 'order_id': '03798493-0fe2-42c1-bf3a-308e65c18e7b', 'seller_id': 'xyz', 'product_name': 'Dental Floss', 'product_code': 'A0003', 'product_quantity': 2, 'product_price': 0.99}
{'customer_id': 'C1015', 'order_id': '03798493-0fe2-42c1-bf3a-308e65c18e7b', 'seller_id': 'xyz', 'product_name': 'Hair Comb', 'product_code': 'A0001', 'product_quantity': 1, 'product_price': 2.99}
{'customer_id': 'C1017', 'order_id': 'a7ed86bd-bc2d-4f48-b09a-ae10280cc7ab', 'seller_id': 'abc', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 7, 'product_price': 1.99}
{'customer_id': 'C1016', 'order_id': 'dcc87cee-4607-44a1-8c54-6950f4db3be5', 'seller_id': 'jkq', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 8, 'product_price': 1.99}
{'customer_id': 'C1016', 'order_id': 'dcc87cee-4607-44a1-8c54-6950f4db3be5', 'seller_id': 'jkq', 'product_name': 'Dental Floss', 'product_code': 'A0003', 'product_quantity': 6, 'product_price': 0.99}
{'customer_id': 'C1016', 'order_id': 'dcc87cee-4607-44a1-8c54-6950f4db3be5', 'seller_id': 'jkq', 'product_name': 'Hair Comb', 'product_code': 'A0001', 'product_quantity': 9, 'product_price': 2.99}
{'customer_id': 'C1016', 'order_id': 'dcc87cee-4607-44a1-8c54-6950f4db3be5', 'seller_id': 'jkq', 'product_name': 'Toothbrush', 'product_code': 'A0002', 'product_quantity': 5, 'product_price': 5.99}
{'customer_id': 'C1014', 'order_id': 'f591b638-628f-4b86-9453-48fae3bab74f', 'seller_id': 'abc', 'product_name': 'Dental Floss', 'product_code': 'A0003', 'product_quantity': 3, 'product_price': 0.99}
{'customer_id': 'C1014', 'order_id': 'f591b638-628f-4b86-9453-48fae3bab74f', 'seller_id': 'abc', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 9, 'product_price': 1.99}
{'customer_id': 'C1014', 'order_id': 'f591b638-628f-4b86-9453-48fae3bab74f', 'seller_id': 'abc', 'product_name': 'Hair Comb', 'product_code': 'A0001', 'product_quantity': 10, 'product_price': 2.99}
{'customer_id': 'C1009', 'order_id': '6274c3cc-3a44-4144-a103-ac72fdd817eb', 'seller_id': 'xyz', 'product_name': 'Toothbrush', 'product_code': 'A0002', 'product_quantity': 4, 'product_price': 5.99}
{'customer_id': 'C1009', 'order_id': '6274c3cc-3a44-4144-a103-ac72fdd817eb', 'seller_id': 'xyz', 'product_name': 'Hand Soap', 'product_code': 'A0004', 'product_quantity': 10, 'product_price': 1.99}
